,Main_Cause,Severity,Area Affected
241,Monsoonal Rain,1.5,209440.59
242,Monsoonal Rain,1,25994.04
243,Monsoonal Rain,1,57211.12
244,Monsoonal Rain,1.5,116871.19
245,Monsoonal Rain,1.5,153840.07
246,Monsoonal Rain,1.5,24440.47
247,Monsoonal Rain,1.5,73328.62
248,Monsoonal Rain,1.5,70859.96
249,Monsoonal Rain,1.5,28864.54
250,Torrential Rain,1,114348.33
251,Tropical Cyclone,1.5,87682.57
252,Tropical Cyclone,1.5,123330.04
253,Heavy Rain,1.5,9467.55
254,Monsoonal Rain,1,67022.92
255,Torrential Rain,1.5,113845.85
256,Monsoonal Rain,1.5,94518.75
257,Monsoonal Rain,1.5,302736.26
258,Monsoonal Rain,1.5,180233.95
259,Monsoonal Rain,1.5,236728.11
260,Heavy Rain,1,106818.77
261,Heavy Rain,1.5,104755.46
