,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID
1043,1169,UEI-IMD-FL-1984-0026,24-08-1984,24-08-1984,0,heavy rains,,Kargil,Jammu and Kashmir,,,,,2,,,,"2 persons and several other injured in Chokaten village, 70 km. from Kargil",,IMD,
1044,1170,UEI-IMD-FL-1984-0027,27-08-1984,27-08-1984,0,cloud burst,,Srinagar,Jammu and Kashmir,,,,,,,,,,"i)Vehicular traffic on National Highway No.1 connecting Srinagar with the rest of the country,disrupted. ii)Two km. stretch of highway near Barsoo village, 49 km. from Srinagar submerged under 3 metre of water",IMD,
1045,1171,UEI-IMD-FL-1984-0028,28-08-1984,28-08-1984,0,cloud burst,,Baramulla,Jammu and Kashmir,,,,,,,,12,12 cattle perished at Noorpur,,IMD,
1046,1172,UEI-IMD-FL-1984-0029,1/9/1984,1/9/1984,0,cloud burst,,Poonch,Jammu and Kashmir,,,,,6,,,,6 people (including 3 women) killed at Gagrian Sawain village,i)Number of houses damaged ii)Main water supply point to Srinagar city badly damaged disrupting water supply to Srinagar city,IMD,
1047,1173,UEI-IMD-FL-1984-0030,15-06-1984,15-06-1984,0,severe,,Kodagu,Karnataka,,,,,1,,,,1 person washed away near Napeklu,,IMD,
1048,1174,UEI-IMD-FL-1984-0031,16-06-1984,16-06-1984,0,heavy rains,,Dakshina Kannada,Karnataka,,,,,,,,,,"i)Several houses and roof tops collapsed ii)Many trees, electric wires blown off iii)Mangala Express between Bengaluru and Mangalore cancelled due to landslide between Yedekumari and Shrivagilu",IMD,
1049,1175,UEI-IMD-FL-1984-0032,2/7/1984,3/7/1984,1,heavy rains,,"Chikmagalur, Shimoga",Karnataka,,,,,15,,,,"13 plantation workers died in a massive landslide in Mudigere taluka, 2 workers killed in a landslide",,IMD,
1050,1176,UEI-IMD-FL-1984-0033,8/7/1984,14-07-1984,6,severe,,"Chikmagalur, Kodagu and Shimoga",Karnataka,,,,,1,,,,A 5-year old boy washed away at Madikere,i)Vast stretch of Paddy field flooded ii)Vehicular traffic between Chikmagalur and Shimoga disrupted,IMD,
1051,1177,UEI-IMD-FL-1984-0034,1/10/1984,1/10/1984,0,heavy rains,,Bengaluru,Karnataka,,,,,1,,,,1 person died in house collapse,Several huts collapsed,IMD,
1052,1178,UEI-IMD-FL-1984-0035,23-04-1984,23-04-1984,0,severe,,Malappuram,Kerala,,,,,3,,,,3 women drowned,,IMD,
